Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
The Rhythm Section,Reed Morano,5.4,2020,Aksiyon,39857,İngiltere,Kış,Yabancı
The Lovebirds,Michael Showalter,6,2020,Komedi,37561,ABD,İlkbahar,Yabancı
1917,Sam Mendes,8.3,2020,Savaş,36125,İngiltere,Kış,Yabancı
Unhinged,Derrick Borte,6,2020,Gerilim,33742,ABD,Yaz,Yabancı
The Witches,Robert Zemeckis,5.3,2020,Fantastik,32587,İngiltere,Sonbahar,Yabancı
Capone,Josh Trank,4.9,2020,Biyografi,31865,ABD,İlkbahar,Yabancı
Color Out of Space,Richard Stanley,6.2,2020,Bilim-Kurgu,30564,ABD,Kış,Yabancı
Sputnik,Egor Abramenko,6.4,2020,Bilim-Kurgu,28976,Rusya,Yaz,Yabancı
Relic,Natalie Erika James,6,2020,Korku,27543,Avustralya,Yaz,Yabancı
Becky,Jonathan Milott,5.9,2020,Gerilim,26895,ABD,Yaz,Yabancı
Kajillionaire,Miranda July,6.4,2020,Komedi,22564,ABD,Sonbahar,Yabancı
The Devil All the Time,Antonio Campos,7.1,2020,Gerilim,21873,ABD,Sonbahar,Yabancı
The Boys in the Band,Joe Mantello,6.1,2020,Dram,20768,ABD,Sonbahar,Yabancı
Over the Moon,Glen Keane,6.4,2020,Animasyon,19543,ABD,Sonbahar,Yabancı
The Outpost,Rod Lurie,6.8,2020,Savaş,18376,ABD,Yaz,Yabancı
Spenser Confidential,Peter Berg,6.2,2020,Aksiyon,17589,ABD,İlkbahar,Yabancı
The Platform,Galder Gaztelu-Urrutia,7,2020,Bilim-Kurgu,16543,İspanya,İlkbahar,Yabancı
Guns Akimbo,Jason Lei Howden,6.3,2020,Aksiyon,15234,Yeni Zelanda,İlkbahar,Yabancı
Run,Aneesh Chaganty,6.7,2020,Gerilim,13246,ABD,Sonbahar,Yabancı
Fatman,Eshom Nelms,6,2020,Komedi,12354,ABD,Kış,Yabancı
Peninsula,Sang-ho Yeon,5.5,2020,Aksiyon,11243,Güney Kore,Yaz,Yabancı
The Invisible Man,Leigh Whannell,7.1,2020,Korku,10534,Avustralya,Kış,Yabancı
Project Power,Henry Joost,6,2020,Aksiyon,9763,ABD,Yaz,Yabancı
Underwater,William Eubank,5.8,2020,Bilim-Kurgu,9345,ABD,Kış,Yabancı
Jingle Jangle: A Christmas Journey,David E. Talbert,6.5,2020,Müzikal,8762,ABD,Kış,Yabancı
The New Mutants,Josh Boone,5.3,2020,Bilim-Kurgu,8371,ABD,Yaz,Yabancı
Bloodshot,David S. F. Wilson,5.5,2020,Aksiyon,7985,ABD,İlkbahar,Yabancı
The Midnight Sky,George Clooney,5.6,2020,Bilim-Kurgu,7643,ABD,Kış,Yabancı
The Croods: A New Age,Joel Crawford,7,2020,Animasyon,7342,ABD,Kış,Yabancı
Sonic the Hedgehog,Jeff Fowler,6.5,2020,Macera,6543,ABD,İlkbahar,Yabancı
The Way Back,Gavin O'Connor,6.7,2020,Dram,6145,ABD,İlkbahar,Yabancı
Trolls World Tour,Walt Dohrn,6.1,2020,Animasyon,5678,ABD,Yaz,Yabancı
Greyhound,Aaron Schneider,7,2020,Savaş,4876,ABD,Yaz,Yabancı
Horse Girl,Jeff Baena,6,2020,Dram,3987,ABD,Kış,Yabancı
The Photograph,Stella Meghie,6.1,2020,Romantik,3648,ABD,Kış,Yabancı
The Banker,George Nolfi,6.8,2020,Dram,3543,ABD,Kış,Yabancı
Miss Juneteenth,Channing Godfrey Peoples,6.8,2020,Dram,3421,ABD,Yaz,Yabancı
No Time to Die,Cary Joji Fukunaga,7.3,2020,Aksiyon,3128,İngiltere,Yaz,Yabancı
Da 5 Bloods,Spike Lee,6.5,2020,Savaş,2987,ABD,Yaz,Yabancı
Love and Monsters,Michael Matthews,7,2020,Macera,2745,ABD,Sonbahar,Yabancı
The Kissing Booth 2,Vince Marcello,5.8,2020,Romantik,2534,ABD,Yaz,Yabancı
Fantasy Island,Jeff Wadlow,4.9,2020,Korku,2435,ABD,Kış,Yabancı
The Lodge,Severin Fiala,6.1,2020,Korku,2396,ABD,Kış,Yabancı
I’m Thinking of Ending Things,Charlie Kaufman,6.6,2020,Dram,2278,ABD,Sonbahar,Yabancı
Rebecca,Ben Wheatley,6,2020,Romantik,2125,İngiltere,Sonbahar,Yabancı
The Secret Garden,Marc Munden,5.5,2020,Fantastik,1984,İngiltere,Yaz,Yabancı
All the Bright Places,Brett Haley,6.5,2020,Romantik,1875,ABD,İlkbahar,Yabancı
The Willoughbys,Kris Pearn,6.4,2020,Animasyon,1765,ABD,İlkbahar,Yabancı
Lost Girls,Liz Garbus,6.1,2020,Dram,1678,ABD,İlkbahar,Yabancı
Hubie Halloween,Steven Brill,5.2,2020,Komedi,1567,ABD,Sonbahar,Yabancı
The Wrong Missy,Tyler Spindel,5.7,2020,Komedi,1432,ABD,İlkbahar,Yabancı
The High Note,Nisha Ganatra,6.4,2020,Dram,1329,ABD,İlkbahar,Yabancı
The SpongeBob Movie: Sponge on the Run,Tim Hill,6,2020,Animasyon,1234,ABD,Yaz,Yabancı
Tenet,Christopher Nolan,7.4,2020,Aksiyon,350689,İngiltere,Yaz,Yabancı
Birds of Prey,Cathy Yan,6.1,2020,Aksiyon,290876,ABD,Kış,Yabancı
Onward,Dan Scanlon,7.4,2020,Animasyon,240111,ABD,İlkbahar,Yabancı
Dolittle,Stephen Gaghan,5.6,2020,Fantastik,230238,ABD,Kış,Yabancı
The Call of the Wild,Chris Sanders,5.8,2020,Macera,220420,ABD,Kış,Yabancı
Bad Boys for Life,Adil El Arbi/Bilall Fallah,6.6,2020,Aksiyon,6897,ABD,Kış,Yabancı
Sonic the Hedgehog,Jeff Fowler,6.5,2020,Macera,6543,ABD,İlkbahar,Yabancı
Godzilla x Kong: The New Empire,Adam Wingard,6.1,2024,Bilim-Kurgu,2858000,ABD,Yaz,Yabancı
Mufasa: The Lion King,Barry Jenkins,6.5,2024,Animasyon,2004850,ABD,Yaz,Yabancı
Vengeance, B.J. Novak,7.1,2024,Komedi,2014500,ABD,Yaz,Yabancı
John Wick: Chapter 4, Chad Stahelski,7.7,2024,Aksiyon, 2514500,ABD,İlkbahar,Yabancı
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,7.7,2024,Aksiyon,3545600,ABD,Yaz,Yabancı
Oppenheimer, Christopher Nolan,8.3,2024,Dram,1142000,ABD,Yaz,Yabancı
The Substance, Coralie Fargeat,7.5,2024,Dram,2545800,ABD,Yaz,Yabancı
Moana 2, David G. Derrick Jr.,6.5,2024,Animasyon,2814200,ABD,Yaz,Yabancı
Furiosa: A Mad Max Saga,George Miller,7.5,2024,Aksiyon,4587400,ABD,Yaz,Yabancı
Red One, Jake Kasdan,6.5,2024,Aksiyon,2645800,ABD,Yaz,Yabancı
Indiana Jones and the Dial of Destiny,James Mangold,6.5,2024,Macera,2245800,ABD,Yaz,Yabancı
Sonic the Hedgehog 3, Jeff Fowler,6,2024,Animasyon,3804850,ABD,Yaz,Yabancı
Young Woman and the Sea,Joachim Rønning,7.6,2024,Macera,4314500,ABD,Yaz,Yabancı
IF, John Krasinski,6.5,2024,Animasyon,2905890,ABD,Yaz,Yabancı
Fast X, Justin Lin,5.7,2024,Aksiyon,2715200,ABD,Yaz,Yabancı
Ghostlight, Kelly O'Sullivan,7.5,2024,Dram,2478000,ABD,Yaz,Yabancı
The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,6.5,2024,Macera,3485400,ABD,Yaz,Yabancı
Challengers, Luca Guadagnino,7.1,2024,Aksiyon,2114700,ABD,Yaz,Yabancı
Killers of the Flower Moon, Martin Scorsese,8,2024,Dram,5309630,ABD,Kış,Yabancı
Kung Fu Panda 4, Mike Mitchell,6.3,2024,Animasyon,5200478,ABD,Yaz,Yabancı
Star Wars: Rogue Squadron, Patty Jenkins,7.9,2024,Bilim-Kurgu,1147000,ABD,Sonbahar,Yabancı
Ant-Man and the Wasp: Quantumania, Peyton Reed,6,2024,Aksiyon,2900485,ABD,Kış,Yabancı
Gladiator II, Ridley Scott,6.5,2024,Macera,3448500,ABD,Yaz,Yabancı
Black Panther: Wakanda Forever, Ryan Coogler,7.1,2024,Aksiyon,5147000,ABD,Kış,Yabancı
Extraction 2, Sam Hargrave,7.7,2024,Aksiyon,2502560,ABD,Yaz,Yabancı
Madame Web, S.J. Clarkson,4,2024,Bilim-Kurgu,3414800,ABD,Yaz,Yabancı
Deadpool & Wolverine, Shawn Levy,7.8,2024,Aksiyon,4004580,ABD,Yaz,Yabancı
Thor: Love and Thunder, Taika Waititi,7,2024,Aksiyon,5214500,ABD,Yaz,Yabancı
Beetlejuice Beetlejuice, Tim Burton,6.5,2024,Komedi,240780,ABD,Yaz,Yabancı
Kingdom of the Planet of the Apes,TBD,6.9,2024,Bilim-Kurgu,5914500,ABD,Yaz,Yabancı
The Fall Guy, TBD,6.5,2024,Aksiyon,4001540,ABD,Yaz,Yabancı
Night Swim, TBD,6.5,2024,Korku,5201250,ABD,Yaz,Yabancı
The Book of Clarence, TBD,6.5,2024,Dram,4807850,ABD,Yaz,Yabancı
Mean Girls: The Musical,TBD,6.5,2024,Komedi,4109640,ABD,Yaz,Yabancı
The Beekeeper, TBD,6.5,2024,Dram,4914750,ABD,Yaz,Yabancı
Lift, TBD,6.5,2024,Dram,1474789,ABD,Yaz,Yabancı
Distant, TBD,6.5,2024,Dram,4700457,ABD,Yaz,Yabancı
Kraven the Hunter, TBD,6.5,2024,Aksiyon,2345800,ABD,Yaz,Yabancı
Smile 2, TBD,6.5,2024,Korku,5604780,ABD,Yaz,Yabancı
Babygirl, TBD,6.5,2024,Dram,4401520,ABD,Yaz,Yabancı
Better Man, TBD,6.5,2024,Dram,4614700,ABD,Yaz,Yabancı
The Fire Inside,TBD,6.5,2024,Dram,4796350,ABD,Yaz,Yabancı
Nosferatu, TBD,6.5,2024,Korku,2512350,ABD,Yaz,Yabancı
Inception, Christopher Nolan,8.8,2010,Bilim-Kurgu,85400,ABD,Yaz,Yabancı
How to Train Your Dragon, Dean DeBlois/ Chris Sanders,8.1,2010,Animasyon,65000,ABD,İlkbahar,Yabancı
Kick-Ass, Matthew Vaughn,7.6,2010,Aksiyon,54000,İngiltere,İlkbahar,Yabancı
Black Swan, Darren Aronofsky,8,2010,Dram,78000,ABD,Sonbahar,Yabancı
Shutter Island, Martin Scorsese,8.2,2010,Gerilim,82000,ABD,Kış,Yabancı
Tangled, Nathan Greno/Byron Howard,7.7,2010,Animasyon,67000,ABD,Sonbahar,Yabancı
Iron Man 2, Jon Favreau,7,2010,Aksiyon,69000,ABD,Yaz,Yabancı
The King's Speech, Tom Hooper, 8,2010,Dram, 72000, İngiltere,Sonbahar,Yabancı
True Grit,JoelCoen/EthanCoen,7.6,2010,Western,56000,ABD,Kış,Yabancı
Despicable Me, Pierre Coffin/ Chris Renaud, 7.6,2010, Animasyon, 73000, ABD,Yaz,Yabancı
Harry Potter and the Deathly Hallows: Part 1,DavidYates,7.7,2010,Fantastik,88000,İngiltere,Sonbahar,Yabancı
The Town, Ben Affleck,7.5,2010,Suç,61000,ABD,Sonbahar,Yabancı
127 Hours, Danny Boyle,7.5,2010,Biyografi,58000,ABD,Sonbahar,Yabancı
The Fighter, David O. Russell,7.8,2010,Dram,79000,ABD,Kış,Yabancı
Tron: Legacy, Joseph Kosinski,6.8,2010,Bilim-Kurgu,63000,ABD,Kış,Yabancı
The Expendables, Sylvester Stallone,6.5,2010,Aksiyon,57000,ABD,Yaz,Yabancı
The Book of Eli, Albert Hughes/Allen Hughes,6.9,2010,Aksiyon,66000,ABD,Kış,Yabancı
Megamind, Tom McGrath,7.2,2010,Animasyon,69000,ABD,Sonbahar,Yabancı
Blue Valentine, Derek Cianfrance,7.4,2010,Dram,64000,ABD,Kış,Yabancı
Easy A, Will Gluck,7,2010,Komedi,60000,ABD,Sonbahar,Yabancı
The Ghost Writer,RomanPolanski,7.2,2010,Gerilim,59000,ABD,Kış,Yabancı
The Kids Are All Right,LisaCholodenko,7,2010,Komedi,56000,ABD,Yaz,Yabancı
Buried, Rodrigo Cortés,7,2010,Gerilim,53000,İspanya,Sonbahar,Yabancı
The Chronicles of Narnia: The Voyage of the Dawn Treader,MichaelApted,6.3,2010,Fantastik,6100000,ABD,Kış,Yabancı
Salt, Phillip Noyce,6.4,2010,Aksiyon,670000,ABD,Yaz,Yabancı
Clash of the Titans, Louis Leterrier,5.8,2010,Aksiyon,64000,ABD,İlkbahar,Yabancı
Red,Robert Schwentke,7,2010,Aksiyon,69000,ABD,Sonbahar,Yabancı
Burlesque,SteveAntin,6.4,2010,Müzikal,63000,ABD,Sonbahar,Yabancı
Prince of Persia: The Sands of Time,MikeNewell,6.6,2010,Macera,68000,ABD,Yaz,Yabancı
The Other Guys, Adam McKay,6.6,2010,Komedi,62000,ABD,Yaz,Yabancı
The A-Team, Joe Carnahan,6.7,2010,Aksiyon,65000,ABD,Yaz,Yabancı
The Tourist, Florian Henckel von Donnersmarck,6,2010,Gerilim,58000,ABD,Kış,Yabancı
Unstoppable, Tony Scott,6.8,2010,Aksiyon,60000,ABD,Sonbahar,Yabancı
Dear John, Lasse Hallström,6.3,2010,Romantik,57000,ABD,Kış,Yabancı
Harry Potter and the Deathly Hallows: Part 2,David Yates,8.1,2011,Fantastik,195000,İngiltere,Yaz,Yabancı
The Girl with the Dragon Tattoo, David Fincher,7.8,2011,Gerilim,483000,ABD,Kış,Yabancı
The Social Network, David Fincher,7.7,2011,Dram,578000,ABD,Sonbahar,Yabancı
Moneyball, Bennett Miller,7.6,2011,Spor,172000,ABD,Sonbahar,Yabancı
Hugo, Martin Scorsese,7.5,2011,Macera,170000,ABD,Kış,Yabancı
The Hangover Part II, Todd Phillips,6.4,2011,Komedi,368000,ABD,İlkbahar,Yabancı
Transformers:Dark of the Moon, Michael Bay,6.2,2011,Bilim-Kurgu,173000,ABD,Yaz,Yabancı
The Smurfs, Raja Gosnell,5.4,2011,Animasyon,49000,ABD,Yaz,Yabancı
Sherlock Holmes: A Game of Shadows,GuyRitchie,7.5,2011,Gizem,177000,İngiltere,Kış,Yabancı
Fast Five, Justin Lin,7.3,2011,Aksiyon,169000,ABD,Yaz,Yabancı
Thor, Kenneth Branagh,7,2011,Aksiyon,710000,ABD,İlkbahar,Yabancı
Captain America: The First Avenger,JoeJohnston,6.9,2011,Aksiyon,69000,ABD,Yaz,Yabancı
War Horse, Steven Spielberg,7.2,2011,Dram,272000,ABD,Kış,Yabancı
The Adventures of Tintin,StevenSpielberg/PeterJackson,7.3,2011,Animasyon,73780,ABD,Sonbahar,Yabancı
Contagion, Steven Soderbergh,6.6,2011,Gerilim,266000,ABD,Sonbahar,Yabancı
Drive, Nicolas Winding Refn,7.8,2011,Suç,78000,Danimarka,Sonbahar,Yabancı
The Help, Tate Taylor,8,2011,Dram,80500,ABD,Yaz,Yabancı
The Artist, Michel Hazanavicius,7.9,2011,Dram,279870,Fransa,Sonbahar,Yabancı
Midnight in Paris, Woody Allen,7.7,2011,Komedi,377090,ABD,İlkbahar,Yabancı
The Descendants, Alexander Payne,7.3,2011,Dram,273458,ABD,Kış,Yabancı
The Muppets, James Bobin,7.1,2011,Komedi,271479,ABD,Sonbahar,Yabancı
The Ides of March, George Clooney,7.1,2011,Dram,271000,ABD,Sonbahar,Yabancı
SourceCode, Duncan Jones,7.5,2011,Bilim-Kurgu,275000,ABD,İlkbahar,Yabancı
Pirates of the Caribbean: On Stranger Tides,RobMarshall,6.6,2011,Macera,266000,ABD,Yaz,Yabancı
The Hobbit: An Unexpected Journey, Peter Jackson,7.8,2012,Fantastik,78080,Yeni Zelanda,Kış,Yabancı
The Dark Knight Rises, Christopher Nolan,8.4,2012,Aksiyon,84961,ABD,Yaz,Yabancı
The Perks of Being a Wallflower, Stephen Chbosky,7.9,2012,Dram,79054,ABD,Yaz,Yabancı
Life of Pi, Ang Lee,7.9,2012,Macera,79007,ABD,Kış,Yabancı
Lincoln, Steven Spielberg,7.3,2012,Dram,73096,ABD,Yaz,Yabancı
The Avengers, Joss Whedon,8,2012,Aksiyon,800470,ABD,Yaz,Yabancı
Silver Linings Playbook, David O. Russell,7.7,2012,Romantik,77078,ABD,Kış,Yabancı
Wreck-It Ralph, Rich Moore,7.7,2012,Animasyon,770040,ABD,Yaz,Yabancı
The Amazing Spider-Man, Marc Webb,6.9,2012,Aksiyon,690960,ABD,Yaz,Yabancı
Battleship, Peter Berg,5.8,2012,Aksiyon,580187,ABD,Yaz,Yabancı
21 Jump Street, Phil Lord/Christopher Miller,7.2,2012,Komedi,7200000,ABD,Yaz,Yabancı
Abraham Lincoln: Vampire Hunter, Timur Bekmambetov,5.9,2012,Macera,5900000,ABD,Yaz,Yabancı
Skyfall, Sam Mendes,7.8,2012,Aksiyon,400000,İngiltere,Sonbahar,Yabancı
Django Unchained, Quentin Tarantino,8.4,2012,Dram,200000,ABD,Kış,Yabancı
The Hunger Games, Gary Ross,7.2,2012,Bilim-Kurgu,200000,ABD,İlkbahar,Yabancı
Ted, Seth MacFarlane,6.9,2012,Komedi,45000,ABD,Yaz,Yabancı
The Expendables 2, Simon West,6.6,2012,Aksiyon,45864,ABD,Yaz,Yabancı
Prometheus, Ridley Scott,7.0,2012,Bilim-Kurgu,46789,ABD,Yaz,Yabancı
The Bourne Legacy, Tony Gilroy,6.6,2012,Aksiyon,45555,ABD,Yaz,Yabancı
Hotel Transylvania, Genndy Tartakovsky,7.1,2012,Animasyon,47777,ABD,Sonbahar,Yabancı
The Twilight Saga: Breaking Dawn – Part 2, Bill Condon,5.5,2012,Fantastik,45222,ABD,Sonbahar,Yabancı
Brave, Mark Andrews/Brenda Chapman,7.1,2012,Animasyon,46666,ABD,Yaz,Yabancı
Menin Black 3, Barry Sonnenfeld,6.8,2012,Bilim-Kurgu,48999,ABD,Yaz,Yabancı
Zero Dark Thirty, Kathryn Bigelow,7.4,2012,Gerilim,47888,ABD,Kış,Yabancı
Argo, Ben Affleck,7.7,2012,Gerilim,46789,ABD,Sonbahar,Yabancı
Cloud Atlas, Tom Tykwer/Lana Wachowski/Lilly Wachowski,7.4,2012,Bilim-Kurgu,45567,ABD,Sonbahar,Yabancı
Rise of the Guardians,PeterRamsey,7.3,2012,Animasyon,46321,ABD,Sonbahar,Yabancı
Les Misérables, Tom Hooper,7.6,2012,Müzikal,248000,İngiltere,Kış,Yabancı
Gravity, Alfonso Cuarón,7.7,2013,Bilim-Kurgu,149123,ABD,Yaz,Yabancı
12 Years a Slave, Steve McQueen,8.1,2013,Dram,948321,ABD,Kış,Yabancı
Her, Spike Jonze,8.0,2013,Romantik,447778,ABD,Yaz,Yabancı
Captain Phillips,PaulGreengrass,7.8,2013,Gerilim,1446788,ABD,Yaz,Yabancı
American Hustle, David O. Russell,7.2,2013,Dram,645233,ABD,Kış,Yabancı
The Great Beauty, Paolo Sorrentino,7.7,2013,Dram,547777,İtalya,Yaz,Yabancı
Before Midnight, Richard Linklater,7.9,2013,Romantik,448987,ABD,Yaz,Yabancı
Rush, Ron Howard,8.1,2013,Dram,249111,ABD,Yaz,Yabancı
Prisoners,Denis Villeneuve,8.1,2013,Gerilim,248765,ABD,Yaz,Yabancı
Inside Llewyn Davis, Joel Coen/Ethan Coen,7.4,2013,Dram,1546354,ABD,Yaz,Yabancı
The Conjuring, James Wan,7.5,2013,Gerilim,1247899,ABD,Yaz,Yabancı
The Great Gatsby, Baz Luhrmann,7.2,2013,Dram,547222,ABD,Yaz,Yabancı
Blue Is the Warmest Color, Abdellatif Kechiche,7.6,2013,Romantik,1347444,Fransa,Yaz,Yabancı
The Book Thief, Brian Percival,7.8,2013,Dram,1547666,ABD,Yaz,Yabancı
Saving Mr. Banks, John Lee Hancock,7.1,2013,Dram,756456,ABD,Kış,Yabancı
Escape Plan, Mikael Håfström,6.4,2013,Aksiyon,1545999,ABD,Yaz,Yabancı
The Best Man Holiday, Malcolm D. Lee,6.1,2013,Komedi,245123,ABD,Kış,Yabancı
Guardians of the Galaxy,James Gunn,8.0,2014,Aksiyon,1626153,ABD,Yaz,Yabancı
The Imitation Game,Morten Tyldum,7.9,2014,Dram,1789431,ABD,Yaz,Yabancı
Gone Girl,David Fincher,8.1,2014,Gerilim,1453204,ABD,Yaz,Yabancı
Edge of Tomorrow,Doug Liman,7.9,2014,Bilim-Kurgu,1374256,ABD,Yaz,Yabancı
X-Men: Days of Future Past,Bryan Singer,7.9,2014,Bilim-Kurgu,1462798,ABD,Yaz,Yabancı
The Lego Movie,Phil Lord/Christopher Miller,7.7,2014,Animasyon,305463,ABD,Yaz,Yabancı
Captain America: The Winter Soldier,Anthony Russo/ Joe Russo,7.7,2014,Aksiyon,1541012,ABD,Yaz,Yabancı
The Theory of Everything,James Marsh,7.6,2014,Biyografi,237492,İngiltere,Yaz,Yabancı
Selma,Ava DuVernay,7.5,2014,Dram,193581,ABD,Kış,Yabancı
Whiplash,Damien Chazelle,8.5,2014,Dram,294817,ABD,Yaz,Yabancı
Nightcrawler,Dan Gilroy,7.9,2014,Gerilim,1206934,ABD,Yaz,Yabancı
The Babadook,Jennifer Kent,6.8,2014,Korku,1143289,Avustralya,Sonbahar,Yabancı
The Hunger Games: Mockingjay – Part 1,Francis Lawrence,6.6,2014,Bilim-Kurgu,1512067,ABD,Kış,Yabancı
Big Hero 6,Don Hall/ Chris Williams,7.8,2014,Animasyon,1478301,ABD,Kış,Yabancı
How to Train Your Dragon 2,Dean DeBlois,7.8,2014,Animasyon,1397540,ABD,Yaz,Yabancı
The Maze Runner,Wes Ball,6.8,2014,Bilim-Kurgu,1283120,ABD,Yaz,Yabancı
Maleficent,Robert Stromberg,7,2014,Fantastik,1412607,ABD,Yaz,Yabancı
The Fault in Our Stars,Josh Boone,7.7,2014,Romantik,1362895,ABD,Yaz,Yabancı
Interstellar,Christopher Nolan,8.6,2014,Bilim-Kurgu,1545183,ABD,Yaz,Yabancı
The Wolf of Wall Street,Martin Scorsese,8.2,2014,Dram,1413572,ABD,Kış,Yabancı
Boyhood,Richard Linklater,7.9,2014,Dram,1227438,ABD,Yaz,Yabancı
Birdman,Alejandro G. Iñárritu,7.7,2014,Dram,1318476,ABD,Yaz,Yabancı
The Grand Budapest Hotel,Wes Anderson,8.1,2014,Komedi,1258342,ABD,Yaz,Yabancı
Mad Max: Fury Road,George Miller,8.1,2015,Aksiyon,2495625,ABD,Yaz,Yabancı
The Revenant,Alejandro G. Iñárritu,8,2015,Dram,422391,ABD,Kış,Yabancı
Mission: Impossible - Rogue Nation,Christopher McQuarrie,7.4,2015,Aksiyon,2458327,ABD,Yaz,Yabancı
The Big Short,Adam McKay,7.8,2015,Dram,315764,ABD,Yaz,Yabancı
Brooklyn,John Crowley,7.5,2015,Dram,172539,ABD,Yaz,Yabancı
The Age of Adaline,Lee Toland Krieger,7.2,2015,Dram,2261103,ABD,Yaz,Yabancı
Southpaw,Antoine Fuqua,7.3,2015,Dram,2290418,ABD,Yaz,Yabancı
Drishyam,Nishikant Kamat,8.2,2015,Dram,2372891,Hindistan,Yaz,Yabancı
Bajrangi Bhaijaan,Kabir Khan,8.1,2015,Aksiyon,421506,Hindistan,Yaz,Yabancı
The Night Before,Jonathan Levine,6.8,2015,Komedi,157293,ABD,Kış,Yabancı
Star Wars: The Force Awakens,J.J. Abrams,7.8,2015,Bilim-Kurgu,682510,ABD,Kış,Yabancı
The Peanuts Movie,Steve Martino,6.8,2015,Animasyon,204896,ABD,Kış,Yabancı
Goosebumps,Rob Letterman,6.1,2015,Korku,172391,ABD,Yaz,Yabancı
Point Break,Ericson Core,6,2015,Aksiyon,139287,ABD,Yaz,Yabancı
Joy,David O. Russell,7.1,2015,Dram,214763,ABD,Kış,Yabancı
Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,5.8,2015,Korku,128340,ABD,Yaz,Yabancı
Spectre,Sam Mendes,6.8,2015,Aksiyon,392748,İngiltere,Sonbahar,Yabancı
Ant-Man,Peyton Reed,7.3,2015,Aksiyon,435192,ABD,Yaz,Yabancı
Jurassic World,Colin Trevorrow,7,2015,Bilim-Kurgu,658231,ABD,Yaz,Yabancı
The Hateful Eight,Quentin Tarantino,7.8,2015,Western,291376,ABD,Kış,Yabancı
Room,Lenny Abrahamson,8.1,2015,Dram,202517,ABD,Kış,Yabancı
The Danish Girl,Tom Hooper,7.1,2015,Biyografi,174839,İngiltere,Kış,Yabancı
Bridge of Spies,Steven Spielberg,7.6,2015,Dram,256194,ABD,Sonbahar,Yabancı
The Intern,Nancy Meyers,7.1,2015,Komedi,236891,ABD,Sonbahar,Yabancı
Everest,Baltasar Kormákur,7.1,2015,Macera,183529,ABD,Sonbahar,Yabancı
Furious 7,James Wan,7.1,2015,Aksiyon,3612413,ABD,Yaz,Yabancı
The Good Dinosaur,Peter Sohn,6.7,2015,Animasyon,3172091,ABD,Kış,Yabancı
Minions,Kyle Balda/ Pierre Coffin,6.4,2015,Animasyon,2548210,ABD,Yaz,Yabancı
The Man from U.N.C.L.E.,Guy Ritchie,7.3,2015,Aksiyon,3207365,ABD,Yaz,Yabancı
Creed,Ryan Coogler,7.6,2015,Dram,3293481,ABD,Kış,Yabancı
Sicario,Denis Villeneuve,7.6,2015,Gerilim,3238192,ABD,Yaz,Yabancı
Kingsman: The Secret Service,Matthew Vaughn,7.7,2015,Aksiyon,414670,İngiltere,Yaz,Yabancı
The Walk,Robert Zemeckis,7.3,2015,Dram,193784,ABD,Sonbahar,Yabancı
The Martian,Ridley Scott,8,2015,Bilim-Kurgu,582419,ABD,Yaz,Yabancı
Pan,Joe Wright,5.7,2015,Fantastik,153782,İngiltere,Yaz,Yabancı
Tomorrowland,Brad Bird,6.4,2015,Bilim-Kurgu,1245301,ABD,Yaz,Yabancı
Cinderella,Kenneth Branagh,6.9,2015,Fantastik,3231054,İngiltere,Yaz,Yabancı
Spy,Paul Feig,7,2015,Komedi,378210,ABD,Yaz,Yabancı
Inside Out,Pete Docter/ Ronnie del Carmen,8.1,2015,Animasyon,619305,ABD,Yaz,Yabancı
San Andreas,Brad Peyton,6.1,2015,Aksiyon,412736,ABD,Yaz,Yabancı
The Last Witch Hunter,Breck Eisner,6,2015,Fantastik,217483,ABD,Kış,Yabancı
Yazı Tura,Serdar Akar,7.7,2017,Gerilim,50000,Türkiye,Kış,Yerli
Yavuz Çetin,Fatih Akın,7.9,2016,Biyografi,22000,Türkiye,Kış,Yerli
Sinema Dünyası,Yılmaz Erdoğan,8.0,2019,Belgesel,640000,Türkiye,Yaz,Yerli
Kara Sevda,Hilal Saral,7.4,2015,Romantik,915000,Türkiye,Yaz,Yerli
Yerli Sinema: Vavien,Yılmaz Erdoğan,8.0,2010,Komedi,40000,Türkiye,Kış,Yerli
Turist,Fatih Akın,7.5,2017,Komedi,12000,Türkiye,Kış,Yerli
Doğa İstedi,Murat Şeker,7.5,2018,Komedi,100000,Türkiye,Sonbahar,Yerli
Soytarı,Bülent Ünal,4.2,2019,Dram,6150000,Türkiye,İlkbahar,Yerli
Büyük Gösteri,Yavuz Turgul,6.4,2011,Dram,110000,Türkiye,Kış,Yerli
Altın Çağ,Yavuz Turgul,8.1,2012,Dram,80000,Türkiye,Yaz,Yerli
Keşke,Sinan Çetin,7.7,2017,Dram,50000,Türkiye,Sonbahar,Yerli
Uzun Mavi Yol,Serdar Akar,7.8,2013,Dram,2340000,Türkiye,Yaz,Yerli
Altın Küre,Sinan Çetin,8.2,2018,Aksiyon,110000,Türkiye,Yaz,Yerli
Gece Yarısı,Fatih Akın,7.6,2015,Gerilim,420000,Türkiye,Kış,Yerli
