Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
The Marvels,Nia DaCosta,5.5,2023,Fantastik,5157878,ABD,Sonbahar,Yabancı
I Wanna Dance with Somebody: Whitney Houston Filmi,Kasi Lemmons,6.6,2022,Biyografi,359725,ABD,Sonbahar,Yabancı
Lanetli Göl,Chris Sivertson,4.7,2022,Gerilim,2330721,ABD,Sonbahar,Yabancı
Aşka Dair,Kat Coiro,5.6,2014,Romantik,1459507,ABD,Yaz,Yabancı
Hançer,İbrahim Vurmaz/Kenan Yeşildağ,7.8,2024,Korku,7150005,Türkiye,Yaz,Yerli
Şeytanın Kızı,Will Klipstine,3.7,2022,Fantastik,238347,ABD,Sonbahar,Yabancı
Ajan Kedi,Christoph Lauenstein/ Wolfgang Lauenstein,5.5,2022,Animasyon,2341056,Almanya,Sonbahar,Yabancı
Unutma Beni,Richard Glatzer/ Wash Westmoreland,7.5,2015,Dram,32053,ABD,Kış,Yabancı
Çizmeli Kedi: Son Dilek,Januel Mercado/ Joel Crawford,7.8,2023,Animasyon,5881662,ABD,Kış,Yabancı
Babil,Damien Chazelle,7.1,2023,Dram,9846342,ABD,Kış,Yabancı
Sil Baştan Kaynanam,Raşit Çelikezer,5.3,2022,Komedi,1377519,Türkiye,Sonbahar,Yerli
Elif ve Arkadaşları Kapadokya,İsa Doğmuş,5.8,2023,Animasyon,2189822,Türkiye,İlkbahar,Yerli
Şeytanın Laneti,Adam Leader/ Richard Oakes,4.3,2022,Korku,423871,Birleşik Krallık,Sonbahar,Yabancı
Bursa Bülbülü,Hakan Algül,6.8,2023,Komedi,7436861,Türkiye,Sonbahar,Yerli
Cesur Çocuk,Jianming Huang,5.6,2024,Animasyon,1102246,Çin,Sonbahar,Yabancı
Ayı Kardeşler: Dünyaya Dönüş,Huida Lin,5.6,2022,Animasyon,1344064,Çin,Sonbahar,Yabancı
Muhteşem Kedi Maurice,Toby Genkel/Florian Westermann,6.2,2023,Animasyon,5468700,Almanya,Kış,Yabancı
Kar ve Ayı,Selcen Ergun,6.6,2023,Dram,7411794,Türkiye,Yaz,Yerli
Suna,Çiğdem Sezgin,6.3,2023,Dram,7456574,Türkiye,Yaz,Yerli
Need for Speed: Hız Tutkusu,Michael Keaton/Dakota Johnson/Imogen Poots,6.4,2022,Aksiyon,2233147,ABD,Kış,Yabancı
Kirpi Sonic 2,Jeff Fowler,6.5,2022,Animasyon,2686557,ABD,İlkbahar,Yabancı
M3GAN,Gerard Johnstone,6.3,2023,Bilim-Kurgu,5354439,ABD,Kış,Yabancı
Kurak Günler,Emin Alper,7.5,2022,Dram,3253958,Türkiye,Sonbahar,Yerli
Tavuri,Derviş Zaim,7.3,2023,Belgesel,7441779,Türkiye,Sonbahar,Yerli
One Piece Film: Red,Gorô Taniguchi,6.8,2022,Animasyon,2424475,Japonya,Sonbahar,Yabancı
Avatar: Suyun Yolu,James Cameron,7.5,2022,Fantastik,2677103,ABD,Sonbahar,Yabancı
Hatıran Yeter,Ömer Faruk Yardımcı,5.0,2024,Romantik,6267330,Türkiye,Kış,Yerli
Arınma Gecesi,Everardo Gout,5.4,2021,Bilim-Kurgu,127827,ABD,Yaz,Yabancı
Sonsuz Sır,Joanna Hogg,5.9,2023,Dram,5481278,ABD,Yaz,Yabancı
Sonsuza Dek Kaçamazsın,Michelle Schumacher,4.4,2024,Korku,864176,ABD,Yaz,Yabancı
Rizk'in Oğulları,Tarek Alarian,7.0,2024,Komedi,6455937,Mısır,Yaz,Yabancı
Van Gogh: Sonsuzluğun Kapısında,Julian Schnabel,6.9,2019,Biyografi,660910,ABD,Kış,Yabancı
Avengers: Sonsuzluk Savaşı,Joe Russo/Anthony Russo,8.4,2018,3 Boyutlu,1909967,ABD,İlkbahar,Yabancı
Sonsuzluk Üzerine,Roy Andersson,6.8,2020,Dram,3837,Almanya,Kış,Yabancı
Sonsuzluk,Tran Anh Hung,5.5,2017,Dram,561787,Fransa,Kış,Yabancı
Sonsuzluk Ormanı,Gus Van Sant,6.1,2017,Dram,565062,ABD,Kış,Yabancı
Sonsuz Aşk,Bruce Greenwood,6.2,2014,Romantik,24623,ABD,Kış,Yabancı
Sonsuzluk Teorisi,Matt Brown,7.2,2016,Biyografi,20306,Birleşik Krallık,İlkbahar,Yabancı
Anne Kalk,Niclas Larsson,5.4,2024,Komedi,1497682,ABD,Yaz,Yabancı
Jeanne Du Barry,Maïwenn,6.7,2023,Biyografi,6475456,Fransa,Sonbahar,Yabancı
Annette,Leos Carax,6.3,2021,Müzikal,3143,ABD,Sonbahar,Yabancı
